2012-07-03 14:36:16,568  0.64 Click(127,621)
2012-07-03 14:38:39,364  143.43 Flick from(82,636)to(97,261)
2012-07-03 14:38:39,894  143.96 Flick from(82,636)to(97,261)
2012-07-03 14:38:40,424  144.49 Flick from(82,636)to(97,261)
2012-07-03 14:38:40,953  145.02 Flick from(82,636)to(97,261)
2012-07-03 14:38:41,483  145.55 Flick from(82,636)to(97,261)
2012-07-03 14:38:42,013  146.08 Flick from(82,636)to(97,261)
2012-07-03 14:38:42,543  146.61 Flick from(82,636)to(97,261)
2012-07-03 14:38:43,132  147.20 Flick from(82,636)to(97,261)
2012-07-03 14:38:43,663  147.73 Flick from(82,636)to(97,261)
2012-07-03 14:38:44,193  148.26 Flick from(82,636)to(97,261)
2012-07-03 14:38:44,723  148.79 Flick from(82,636)to(97,261)
2012-07-03 14:38:45,253  149.32 Flick from(82,636)to(97,261)
2012-07-03 14:38:45,785  149.86 Flick from(82,636)to(97,261)
2012-07-03 14:38:46,315  150.38 Flick from(82,636)to(97,261)
2012-07-03 14:38:46,845  150.92 Flick from(82,636)to(97,261)
2012-07-03 14:38:47,375  151.45 Flick from(82,636)to(97,261)
2012-07-03 14:38:47,907  151.98 Flick from(82,636)to(97,261)
2012-07-03 14:38:48,437  152.51 Flick from(82,636)to(97,261)
2012-07-03 14:38:48,967  153.04 Flick from(82,636)to(97,261)
2012-07-03 14:38:49,496  153.57 Flick from(82,636)to(97,261)
2012-07-03 14:38:50,026  154.10 Flick from(82,636)to(97,261)
2012-07-03 14:38:50,556  154.63 Flick from(82,636)to(97,261)
2012-07-03 14:38:51,115  155.18 Flick from(82,636)to(97,261)
2012-07-03 14:38:51,647  155.72 Flick from(82,636)to(97,261)
2012-07-03 14:38:52,177  156.25 Flick from(82,636)to(97,261)
2012-07-03 14:38:52,707  156.78 Flick from(82,636)to(97,261)
2012-07-03 14:38:53,236  157.31 Flick from(82,636)to(97,261)
2012-07-03 14:38:53,766  157.84 Flick from(82,636)to(97,261)
2012-07-03 14:38:54,296  158.37 Flick from(82,636)to(97,261)
2012-07-03 14:38:54,826  158.90 Flick from(82,636)to(97,261)
2012-07-03 14:38:55,357  159.43 Flick from(82,636)to(97,261)
2012-07-03 14:38:55,887  159.96 Flick from(82,636)to(97,261)
2012-07-03 14:38:56,417  160.49 Flick from(82,636)to(97,261)
2012-07-03 14:38:56,947  161.02 Flick from(82,636)to(97,261)
2012-07-03 14:38:57,476  161.55 Flick from(82,636)to(97,261)
2012-07-03 14:38:58,009  162.08 Flick from(82,636)to(97,261)
2012-07-03 14:38:58,542  162.61 Flick from(82,636)to(97,261)
2012-07-03 14:38:59,072  163.14 Flick from(82,636)to(97,261)
2012-07-03 14:38:59,605  163.67 Flick from(82,636)to(97,261)
2012-07-03 14:39:00,151  164.22 Flick from(82,636)to(97,261)
2012-07-03 14:39:00,684  164.75 Flick from(82,636)to(97,261)
2012-07-03 14:39:01,213  165.28 Flick from(82,636)to(97,261)
2012-07-03 14:39:01,750  165.82 Flick from(82,636)to(97,261)
2012-07-03 14:39:02,280  166.35 Flick from(82,636)to(97,261)
2012-07-03 14:39:02,811  166.88 Flick from(82,636)to(97,261)
2012-07-03 14:39:03,342  167.41 Flick from(82,636)to(97,261)
2012-07-03 14:39:03,872  167.94 Flick from(82,636)to(97,261)
2012-07-03 14:39:04,404  168.47 Flick from(82,636)to(97,261)
2012-07-03 14:39:04,936  169.01 Flick from(82,636)to(97,261)
2012-07-03 14:39:05,466  169.54 Flick from(82,636)to(97,261)
2012-07-03 14:39:05,996  170.07 Flick from(82,636)to(97,261)
2012-07-03 14:39:06,526  170.60 Flick from(82,636)to(97,261)
2012-07-03 14:39:07,056  171.13 Flick from(82,636)to(97,261)
2012-07-03 14:39:07,586  171.66 Flick from(82,636)to(97,261)
2012-07-03 14:39:08,117  172.19 Flick from(82,636)to(97,261)
2012-07-03 14:39:08,647  172.72 Flick from(82,636)to(97,261)
2012-07-03 14:39:09,177  173.25 Flick from(82,636)to(97,261)
2012-07-03 14:39:09,707  173.78 Flick from(82,636)to(97,261)
2012-07-03 14:39:10,237  174.31 Flick from(82,636)to(97,261)
2012-07-03 14:39:10,769  174.84 Flick from(82,636)to(97,261)
2012-07-03 14:39:11,299  175.37 Flick from(82,636)to(97,261)
2012-07-03 14:39:11,828  175.90 Flick from(82,636)to(97,261)
2012-07-03 14:39:12,359  176.43 Flick from(82,636)to(97,261)
2012-07-03 14:39:12,890  176.96 Flick from(82,636)to(97,261)
2012-07-03 14:39:13,420  177.49 Flick from(82,636)to(97,261)
2012-07-03 14:39:13,950  178.02 Flick from(82,636)to(97,261)
2012-07-03 14:39:14,480  178.55 Flick from(82,636)to(97,261)
2012-07-03 14:39:15,009  179.08 Flick from(82,636)to(97,261)
2012-07-03 14:39:15,539  179.61 Flick from(82,636)to(97,261)
2012-07-03 14:39:16,072  180.14 Flick from(82,636)to(97,261)
2012-07-03 14:39:16,604  180.67 Flick from(82,636)to(97,261)
2012-07-03 14:39:17,134  181.20 Flick from(82,636)to(97,261)
2012-07-03 14:39:17,664  181.73 Flick from(82,636)to(97,261)
2012-07-03 14:39:18,194  182.26 Flick from(82,636)to(97,261)
2012-07-03 14:39:18,723  182.79 Flick from(82,636)to(97,261)
2012-07-03 14:39:19,253  183.32 Flick from(82,636)to(97,261)
